Game Number,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2
1,KC,HOU,1664.847251,1527.930047,0.761755623,0.238244377
2,KC,LAC,1676.666068,1483.213635,0.676871559,0.323128441
3,KC,BAL,1685.130853,1672.269182,0.42552513,0.57447487
4,KC,NE,1717.00027,1591.218959,0.749927471,0.250072529
5,KC,OAK,1730.039684,1452.729936,0.87766409,0.12233591
6,KC,BUF,1684.364306,1549.660168,0.598987774,0.401012226
7,KC,DEN,1702.264459,1496.999764,0.69156126,0.30843874
8,KC,NYJ,1721.588069,1317.568045,0.937020524,0.062979476
9,KC,CAR,1725.009955,1412.799689,0.89765137,0.10234863
10,KC,OAK,1726.929637,1538.935093,0.66996207,0.33003793
11,KC,TB,1736.99067,1575.111911,0.635915328,0.364084672
12,KC,DEN,1746.659467,1450.091798,0.889077319,0.110922681
13,KC,MIA,1750.367043,1549.241568,0.68645574,0.31354426
14,KC,NO,1761.858581,1683.742436,0.518866687,0.481133313
15,KC,ATL,1775.119369,1490.082266,0.882360469,0.117639531
16,KC,LAC,1777.93331,1427.636782,0.916110688,0.083889312
17,KC,CLE,1712.65209,1552.012725,0.785647202,0.214352798
18,KC,BUF,1719.618921,1719.974149,0.591972407,0.408027593
19,KC,TB,1741.087279,1703.303296,0.46091292,0.53908708
