Game Number,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2
1,TB,CAR,1486.381933,1399.166282,0.706039072,0.293960928
2,TB,LAC,1534.494524,1447.374314,0.705925032,0.294074968
3,TB,GB,1540.118349,1652.497577,0.432235349,0.567764651
4,TB,NO,1614.765429,1606.051062,0.604519874,0.395480126
5,TB,LAR,1592.359745,1585.620332,0.601798679,0.398201321
6,TB,KC,1575.111911,1736.99067,0.364084672,0.635915328
7,TB,MIN,1565.443114,1536.00807,0.632652216,0.367347784
8,TB,ATL,1617.442067,1487.268325,0.754639273,0.245360727
9,TB,KC,1703.303296,1741.087279,0.53908708,0.46091292
10,TB,NO,1498.629216,1609.805612,0.266167917,0.733832083
11,TB,DEN,1501.272864,1474.230438,0.445590958,0.554409042
12,TB,CHI,1545.933784,1530.626371,0.428970303,0.571029697
13,TB,OAK,1579.196569,1498.405314,0.522709807,0.477290193
14,TB,NYG,1610.076071,1338.54469,0.766542519,0.233457481
15,TB,CAR,1569.937223,1410.880007,0.632146605,0.367853395
16,TB,ATL,1583.512073,1505.482129,0.51874281,0.48125719
17,TB,DET,1598.911935,1360.395782,0.730830303,0.269169697
18,TB,WSH,1630.469967,1456.954736,0.651278531,0.348721469
19,TB,NO,1645.074008,1704.051294,0.328788275,0.671211725
20,TB,GB,1679.186255,1715.623187,0.358031579,0.641968421
